AVANT HEALTHCARE PROFESSIONALS,1006
UBER TECHNOLOGIES  INC.,1006
INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS,1007
BALTIMORE CITY PUBLIC SCHOOLS,1014
CHILDREN'S HOSPITAL CORPORATION,1017
AMDOCS INC.,1023
BROOKHAVEN NATIONAL LABORATORY,1023
A2Z DEVELOPMENT CENTER  INC.,1025
TECHDEMOCRACY LLC,1027
SOFTWARE PARADIGMS INTERNATIONAL GROUP  LLC,1034
THE UNIVERSITY OF ARIZONA,1037
SIRI INFOSOLUTIONS INC.,1039
THE PENNSYLVANIA STATE UNIVERSITY,1042
CITRIX SYSTEMS  INC.,1044
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY  INC.,1045
ALINDUS  INC.,1046
GENPACT LLC,1046
BLACKROCK FINANCIAL MANAGEMENT  INC.,1048
ADVENT GLOBAL SOLUTIONS INC.,1049
MEDTRONIC  INC.,1050
BATTELLE,1052
PYRAMID TECHNOLOGY SOLUTIONS  INC,1056
APEX TECHNOLOGY SYSTEMS  INC,1060
UNIVERSITY OF UTAH,1069
PURDUE UNIVERSITY,1076
MEMORIAL SLOAN-KETTERING CANCER CENTER,1080
SAGARSOFT  INC,1082
INOVANT  LLC,1086
COMPUTER SCIENCES CORPORATION,1089
AKAMAI TECHNOLOGIES  INC.,1092
MCKINSEY & COMPANY  INC. UNITED STATES,1097
SEARS HOLDINGS MANAGEMENT CORPORATION,1105
HSBC BANK USA  N.A.,1110
MOUNT SINAI MEDICAL CENTER,1114
UNIVERSITY OF WISCONSIN-MADISON,1115
BRIGHAM AND WOMEN'S HOSPITAL,1117
PEOPLE TECH GROUP INC.,1124
DOTCOM TEAM  LLC,1125
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,1126
UNIVERSITY OF ILLINOIS AT CHICAGO,1131
HOWARD HUGHES MEDICAL INSTITUTE,1135
NATSOFT CORPORATION,1137
HP ENTERPRISE SERVICES  LLC,1149
SRS CONSULTING INC.,1150
CMC AMERICAS  INC.,1157
MICROEXCEL  INC,1159
ORION SYSTEMS INTEGRATORS  INC,1160
HTC GLOBAL SERVICES  INC.,1164
ADOBE SYSTEMS INCORPORATED,1167
VEDICSOFT,1169
DEUTSCHE BANK SECURITIES INC.,1170
TECH MAHINDRA ( AMERICAS)  INC,1170
UNIVERSITY OF CALIFORNIA  LOS ANGELES,1172
NVIDIA CORPORATION,1182
UNIVERSITY OF WASHINGTON,1187
CHARTER GLOBAL  INC.,1188
MICHIGAN STATE UNIVERSITY,1191
UNIVERSITY OF ILLINOIS,1196
AT&T SERVICES  INC.,1201
UNIVERSITY OF CALIFORNIA  SAN DIEGO,1202
COLLABORATE SOLUTIONS INC,1209
SMARTSOFT INTERNATIONAL  INC.,1212
COMCAST CABLE COMMUNICATIONS  LLC,1214
PHOTON INFOTECH  INC.,1235
VERINON TECHNOLOGY SOLUTIONS LTD.,1245
INTRAEDGE  INC.,1254
CYMA SYSTEMS INC,1269
THE UNIVERSITY OF TEXAS AT AUSTIN,1274
QUALCOMM ATHEROS  INC.,1274
VEDICSOFT SOLUTIONS LLC,1274
THE UNIVERSITY OF CHICAGO,1277
CYIENT  INC.,1281
IBM INDIA PVT. LTD.,1284
THE UNIV. OF ALA. AT BIRMINGHAM (UAB),1288
EXPEDIA  INC.,1311
GENESIS ELDERCARE REHABILITATION SERVICES  INC.,1320
POLARIS SOFTWARE LAB (INDIA) LTD.,1326
TWITTER  INC.,1328
DUKE UNIVERSITY AND MEDICAL CENTER,1330
PROKARMA  INC.,1333
UNIVERSITY OF CALIFORNIA  DAVIS,1334
INFOSYS TECHNOLOGIES LIMITED,1336
NIIT TECHNOLOGIES LIMITED,1339
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1347
UNIVERSITY OF CALIFORNIA  SAN FRANCISCO,1348
THE BOSTON CONSULTING GROUP  INC.,1352
UNIVERSITY OF MINNESOTA,1353
UNIVERSITY OF MARYLAND COLLEGE PARK,1354
AMERICAN INFORMATION TECHNOLOGY CORPORATION,1358
IDEXCEL  INC.,1360
PERFICIENT  INC.,1366
YASH & LUJAN CONSULTING  INC.,1372
AKVARR INC,1372
SMARTPLAY  INC.,1377
LARSEN & TOUBRO TECHNOLOGY SERVICES LTD,1385
GRANDISON MANAGEMENT  INC.,1386
GLOBALFOUNDRIES U.S. INC.,1391
INTUIT INC.,1404
DIASPARK  INC.,1419
IDHASOFT  INC.,1423
AVCO CONSULTING INC,1424
GENERAL HOSPITAL CORPORATION,1429
UNIVERSITY OF FLORIDA,1429
CITIGROUP GLOBAL MARKETS INC.,1435
NORTHWESTERN UNIVERSITY,1439
SUNERA TECHNOLOGIES  INC,1440
TESLA MOTORS  INC.,1441
SAP AMERICA  INC.,1456
T-MOBILE USA  INC.,1457
MULTIVISION INC.,1502
ADVANCED MICRO DEVICES  INC.,1512
DELL MARKETING L.P.,1532
ORACLE FINANCIAL SERVICES SOFTWARE  INC.,1532
ECLINICALWORKS  LLC,1547
THE UNIVERSITY OF IOWA,1569
EXILANT TECHNOLOGIES PRIVATE LIMITED,1572
INTONE NETWORKS INC.,1575
WASHINGTON UNIVERSITY IN ST. LOUIS,1576
RITE AID CORP.,1577
THE OHIO STATE UNIVERSITY,1587
KFORCE INC.,1596
UNIVERSITY OF COLORADO,1599
BARCLAYS SERVICES CORP.,1605
CYBERTHINK INC,1618
SATYAM COMPUTER SERVICES LTD,1622
TECHNOSOFT CORPORATION,1625
